current_url,normalized_url,status_http,canonical,indexable,page_type,title,h1,clicks,impressions,ctr,average_position,referring_domains,leads,target_intent,primary_keyword,decision,proposed_url,redirect_required,priority,owner,last_verified,notes
https://www.ativpro.com/,https://www.ativpro.com/,200,VERIFY,VERIFY_GSC,home,"Soluções AV Corporativas em São Paulo | Videowall, UC e Automação | ATIV","|",,,,,,,,commercial,"integração audiovisual corporativa",KEEP_FIX_SEMANTICS,,false,P0,SEO,2026-08-24,"Public crawl: hero H1 is not semantically exposed; preserve URL; verify canonical/GSC before migration"
https://www.ativpro.com/projetos/,https://www.ativpro.com/projetos/,200,VERIFY,VERIFY_GSC,cases_index,"Projetos e Cases | ATIV","Projetos e cases",,,,,,,,commercial,"projetos audiovisuais corporativos",KEEP_FIX_CONTENT,,false,P1,Content,2026-08-24,"Counters render as 0 in crawl; convert proof/results to semantic server-rendered values backed by evidence"
https://www.ativpro.com/insights/,https://www.ativpro.com/insights/,200,VERIFY,VERIFY_GSC,insights_index,"Insights | ATIV","Insights técnicos",,,,,,,,informational,"conteúdo técnico audiovisual",KEEP,,false,P1,SEO,2026-08-24,"Strong topical hub; improve cluster linking and article ownership"
https://www.ativpro.com/servicos/,https://www.ativpro.com/servicos/,200,VERIFY,VERIFY_GSC,services_index,"Consultoria e Execução AV em São Paulo | Manutenção 24/7 e Operação | ATIV","Serviços de engenharia, projeto e operação",,,,,,,,commercial,"serviços audiovisuais corporativos",KEEP,,false,P1,SEO,2026-08-24,"Useful service hub; verify metadata/canonical in technical crawl"
https://www.ativpro.com/servicos/consultoria-engenharia/,https://www.ativpro.com/servicos/consultoria-engenharia/,200,VERIFY,VERIFY_GSC,service,"Consultoria e Engenharia | ATIV","Consultoria e Engenharia",,,,,,,,commercial,"engenharia audiovisual",KEEP_OPTIMIZE,,false,P1,SEO,2026-08-24,"Candidate owner for engenharia audiovisual and projeto audiovisual"
https://www.ativpro.com/servicos/gestao-execucao/,https://www.ativpro.com/servicos/gestao-execucao/,200,VERIFY,VERIFY_GSC,service,"Gestão e Execução de Projetos | ATIV","Gestão e Execução de Projetos",,,,,,,,commercial,"gestão de projetos audiovisuais",KEEP_OPTIMIZE,,false,P1,SEO,2026-08-24,"Check links from service index for duplicate/mismatched labels"
https://www.ativpro.com/servicos/suporte-manutencao/,https://www.ativpro.com/servicos/suporte-manutencao/,200,VERIFY,VERIFY_GSC,service,"Suporte e Manutenção | ATIV","Suporte e Manutenção",,,,,,,,commercial,"manutenção audiovisual corporativa",KEEP_OPTIMIZE,,false,P0,SEO,2026-08-24,"SLA/service claims require Claim Registry evidence"
https://www.ativpro.com/servicos/servicos-gerenciados/,https://www.ativpro.com/servicos/servicos-gerenciados/,200,VERIFY,VERIFY_GSC,service,"Serviços Gerenciados | ATIV","Serviços Gerenciados",,,,,,,,commercial,"serviços gerenciados AV",KEEP_OPTIMIZE,,false,P1,SEO,2026-08-24,"24/7 and monitoring claims require evidence"
https://www.ativpro.com/servicos/operacao-onsite/,https://www.ativpro.com/servicos/operacao-onsite/,200,VERIFY,VERIFY_GSC,service,"Operação On-site | ATIV","Operação On-site",,,,,,,,commercial,"operação audiovisual onsite",KEEP,,false,P2,SEO,2026-08-24,"Validate demand before expanding"
https://www.ativpro.com/servicos/eventos/,https://www.ativpro.com/servicos/eventos/,200,VERIFY,VERIFY_GSC,service,"Eventos | ATIV","Eventos",,,,,,,,commercial,"suporte audiovisual para eventos corporativos",KEEP,,false,P2,SEO,2026-08-24,"Keep distinct from generic event-production intent"
https://www.ativpro.com/servicos/cftv-monitoramento/,https://www.ativpro.com/servicos/cftv-monitoramento/,200,VERIFY,VERIFY_GSC,service,"CFTV e Monitoramento | ATIV","CFTV e Monitoramento",,,,,,,,commercial,"CFTV corporativo",KEEP_REVIEW_SCOPE,,false,P2,SEO,2026-08-24,"Validate strategic fit with core AV authority"
https://www.ativpro.com/servicos/seguranca-eletronica/,https://www.ativpro.com/servicos/seguranca-eletronica/,200,VERIFY,VERIFY_GSC,service,"Segurança Eletrônica | ATIV","Segurança Eletrônica",,,,,,,,commercial,"segurança eletrônica corporativa",KEEP_REVIEW_SCOPE,,false,P2,SEO,2026-08-24,"Validate strategic fit and avoid topical dilution"
https://www.ativpro.com/servicos/infraestrutura-ti-redes/,https://www.ativpro.com/servicos/infraestrutura-ti-redes/,200,VERIFY,VERIFY_GSC,service,"Infraestrutura de TI e Redes | ATIV","Infraestrutura de TI e Redes",,,,,,,,commercial,"infraestrutura de rede audiovisual",KEEP_OPTIMIZE,,false,P1,SEO,2026-08-24,"Connect semantically to AV-over-IP/Dante cluster"
https://www.ativpro.com/solucoes/,https://www.ativpro.com/solucoes/,200,VERIFY,VERIFY_GSC,solutions_index,"Integração Audiovisual em São Paulo | Salas, Auditórios, NOC | ATIV","Soluções tecnológicas para ambientes críticos",,,,,,,,commercial,"soluções audiovisuais corporativas",KEEP,,false,P0,SEO,2026-08-24,"Primary commercial hub; needs strong internal architecture"
https://www.ativpro.com/solucoes/audiovisual/,https://www.ativpro.com/solucoes/audiovisual/,200,VERIFY,VERIFY_GSC,solution,"ATIV | Integração Audiovisual, Automação e Colaboração","S o l u ç õ e s A u d i o v i s u a i s (A V)",,,,,,,,commercial,"integração audiovisual corporativa",KEEP_FIX_METADATA_H1,,false,P0,SEO,2026-08-24,"Generic title; H1 split into characters by animation; make semantic H1 server-rendered"
https://www.ativpro.com/solucoes/colaboracao-uc/,https://www.ativpro.com/solucoes/colaboracao-uc/,406,VERIFY,VERIFY_GSC,solution,,,,,,,,,commercial,"colaboração unificada audiovisual",FIX_IMMEDIATELY_KEEP_URL,,false,P0,Frontend,2026-08-24,"Public crawl returned HTTP 406; investigate WAF/server/UA behavior and AdsBot access before launch"
https://www.ativpro.com/solucoes/automacao-controle/,https://www.ativpro.com/solucoes/automacao-controle/,200,VERIFY,VERIFY_GSC,solution,"ATIV | Integração Audiovisual, Automação e Colaboração","A u t o m a ç ã o e C o n t r o l e",,,,,,,,commercial,"automação audiovisual",KEEP_FIX_METADATA_H1,,false,P1,SEO,2026-08-24,"Generic title and character-split animated H1"
https://www.ativpro.com/solucoes/seguranca-cftv/,https://www.ativpro.com/solucoes/seguranca-cftv/,200,VERIFY,VERIFY_GSC,solution,"ATIV | Integração Audiovisual, Automação e Colaboração","S e g u r a n ç a e C F T V",,,,,,,,commercial,"soluções CFTV corporativas",KEEP_FIX_METADATA_H1,,false,P2,SEO,2026-08-24,"Generic title and character-split animated H1; scope review"
