route,purpose,indexation,primary_intent,primary_keyword,ads_eligible,organic_owner,status,canonical_strategy,sitemap,priority,notes
/,brand_commercial,index,commercial,integração audiovisual corporativa,yes,/,existing_fix,self,yes,P0,"Semantic H1 required; primary navigation to solution clusters"
/solucoes/,commercial_hub,index,commercial,soluções audiovisuais corporativas,yes,/solucoes/,existing_strengthen,self,yes,P0,"Hub must expose crawlable contextual links to major solutions"
/solucoes/audiovisual/,organic_commercial,index,commercial,integração audiovisual corporativa,yes,/solucoes/audiovisual/,existing_strengthen,self,yes,P0,"Broad commercial owner; do not create a duplicate integration route"
/solucoes/sala-reuniao-hibrida-sao-paulo/,organic_commercial,index,commercial,sala de reunião híbrida,yes,/solucoes/sala-reuniao-hibrida-sao-paulo/,existing_preserve,self,yes,P0,"Preserve until GSC migration analysis; repair title/H1"
/solucoes/microsoft-teams-rooms/,organic_commercial,index,commercial,Microsoft Teams Rooms,yes,/solucoes/microsoft-teams-rooms/,candidate_new,self,yes,P0,"Create only with substantive vendor-specific engineering content and evidence"
/solucoes/videowall/,organic_commercial,index,commercial,videowall corporativo,yes,/solucoes/videowall/,candidate_new,self,yes,P0,"Primary ATIV videowall integration page; contextual links to Easywall and VideowallBR"
/solucoes/centro-comando-controle-noc-soc-sao-paulo/,organic_commercial,index,commercial,centro de comando e controle,yes,/solucoes/centro-comando-controle-noc-soc-sao-paulo/,existing_preserve,self,yes,P0,"Preserve; contextual Easywall link where software layer is discussed"
/solucoes/auditorio-corporativo-sao-paulo/,organic_commercial,index,commercial,sistema audiovisual para auditório,yes,/solucoes/auditorio-corporativo-sao-paulo/,existing_preserve,self,yes,P0,"Preserve; repair metadata/H1 and evidence claims"
/solucoes/governo-tribunais-sao-paulo/,organic_commercial,index,government_procurement,sistema audiovisual para tribunal,yes,/solucoes/governo-tribunais-sao-paulo/,existing_preserve,self,yes,P0,"Own tribunal/plenary solution intent"
/solucoes/av-over-ip/,organic_commercial,index,commercial,AV over IP,yes,/solucoes/av-over-ip/,candidate_new,self,yes,P1,"Commercial solution page distinct from informational guides"
/solucoes/automacao-controle/,organic_commercial,index,commercial,automação audiovisual,yes,/solucoes/automacao-controle/,existing_strengthen,self,yes,P1,"Fix metadata/H1 before paid use"
/setores/,sector_index,index,commercial,integração audiovisual por setor,yes,/setores/,existing_strengthen,self,yes,P1,"Existing inventory URL; draft surface stays noindex until approved"
/setores/corporativo/,sector_hub,index,commercial,audiovisual corporativo,yes,/setores/corporativo/,existing_expand,self,yes,P0,"Decision hub; link to rooms/auditorium/videowall/UC instead of duplicating them"
